country,day,flag_tsunami,id,location_name,month,region_code,Regions,state,year,Damage ($ Millions),damage_description,deaths_description,eq_mag_mb,eq_mag_mfa,eq_mag_ml,eq_mag_ms,eq_mag_mw,eq_mag_unk,focal_depth,hour,houses_damaged,houses_damaged_description,houses_destroyed_description,injuries_description,Intensity,latitude,longitude,Magnitude,minute,missing_description,Number of deaths,Number of Houses Destroyed,Number of Injuries,Number of Missing Persons,second,total_damage_description,total_damage_millions_dollars,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
FIJI,16,Y,10271,FIJI ISLANDS,12,Central and South Pacific,Central and South Pacific,0,1975,0,0,0,4.9,0,0,0,0,0,33,21,0,0,0,0,0,-18.672,178.464,4.9,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,3,N,7709,FIJI ISLANDS,3,Central and South Pacific,Central and South Pacific,0,1990,0,0,0,6.3,0,0,7.4,7.6,0,33,12,0,0,0,0,0,-22.122,175.163,7.6,16,0,0,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,9,N,5383,FIJI ISLANDS,3,Central and South Pacific,Central and South Pacific,0,1994,0,0,0,6.6,0,0,0,7.6,0,563,23,0,0,0,0,0,-18.039,-178.413,7.6,28,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,19,N,8953,FIJI ISLANDS,8,Central and South Pacific,Central and South Pacific,0,2002,0,0,0,6.7,0,0,0,7.7,0,580,11,0,0,0,0,0,-21.696,-179.513,7.7,1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,19,N,8954,FIJI ISLANDS,8,Central and South Pacific,Central and South Pacific,0,2002,0,0,0,7,0,0,0,7.7,0,675,11,0,0,0,0,0,-23.884,178.495,7.7,8,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,3,Y,10225,FIJI ISLANDS,1,Central and South Pacific,Central and South Pacific,0,2017,0,0,0,0,0,0,0,6.9,0,12,21,0,0,0,0,6,-19.373,176.052,6.9,53,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,19,Y,10356,FIJI ISLANDS,8,Central and South Pacific,Central and South Pacific,0,2018,0,0,0,0,0,0,0,8.2,0,563,0,0,0,0,0,0,-18.178,-178.111,8.2,19,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,6,N,10361,FIJI ISLANDS,9,Central and South Pacific,Central and South Pacific,0,2018,0,0,0,0,0,0,0,7.8,0,609,15,0,0,0,0,0,-18.494,179.332,7.8,49,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,4,N,3213,IRAN:  BODZHNURD,2,Middle East ,Middle East,0,1923,0,2,0,0,0,0,0,0,5.5,10,0,0,0,0,0,8,37.6,57.3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,25,N,3223,IRAN:  TURBAT-HAKLARI,5,Middle East ,Middle East,0,1923,0,0,4,0,0,0,5.7,0,0,0,22,0,0,0,0,10,35.2,59.2,5.7,21,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,22,N,3233,IRAN:  SIRJAN,9,Middle East ,Middle East,0,1923,0,0,3,0,0,0,6.9,0,0,0,20,0,0,0,0,0,29.2,56.9,6.9,47,0,290,0,0,0,43,0,0,290,3,0,0,0,0,0,0,0,0
IRAN,14,N,3281,IRAN:  BAJESTAN,12,Middle East ,Middle East,0,1925,0,0,3,0,0,0,0,0,5.5,0,0,0,0,0,0,0,34.6,58.1,5.5,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,18,N,3282,"IRAN:  AHRAM,DOMRUBAH,MAHMUDABADI,AB GARM",12,Middle East ,Middle East,0,1925,0,2,1,0,0,0,0,0,5.5,0,5,0,0,0,0,0,28.5,51.2,5.5,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,8,N,3345,IRAN:  NEHBANDAN,3,Middle East ,Middle East,0,1928,0,2,1,0,0,0,0,0,5,0,18,0,0,0,0,0,31.6,60,5,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,21,N,3373,IRAN:  SHIRVAN,8,Middle East ,Middle East,0,1928,0,2,1,0,0,0,0,0,5.4,9,19,0,0,0,0,8,37.3,57.9,5.4,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,1,N,3390,IRAN:  KOPET-DAGH,5,Middle East ,Middle East,0,1929,0,4,4,0,0,0,7.4,0,0,50,15,0,0,0,0,0,37.8,57.6,7.4,37,0,3800,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,13,N,3399,IRAN:  FARUJ,7,Middle East ,Middle East,0,1929,0,2,1,0,0,0,0,0,5.8,57,7,0,0,0,0,0,37.5,58,5.8,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,15,N,3400,"IRAN:  MASJED SOLEYMAN,ANDARKAH",7,Middle East ,Middle East,0,1929,0,2,1,0,0,0,0,0,6.2,65,7,0,0,0,0,0,32.2,49.7,6.2,44,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,6,N,3412,IRAN:  SALMAS,5,Middle East ,Middle East,0,1930,0,0,4,0,0,0,7.5,0,0,30,22,0,0,0,0,0,38.1,44.7,7.5,34,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,2,N,3424,"IRAN:  AH,MOBARAKABAD,AB ALI,SARPURAK",10,Middle East ,Middle East,0,1930,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,35.8,52.1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,20,N,3488,IRAN:  TORBET-I-KHEYDARLY,5,Middle East ,Middle East,0,1932,0,3,4,0,0,0,0,0,5.4,12,19,0,0,0,0,8,36.6,53.4,5.4,16,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,28,N,3526,"IRAN:  BAHABAD,ALIABAD,RAHIMABAD,KHAIRABAD",11,Middle East ,Middle East,0,1933,0,3,1,0,0,0,0,0,6.3,27,11,0,0,0,0,0,32.1,56,6.3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
